,loss,topk,val_loss,val_topk,lr
85,7.466190949082375,0.8286539893597364,4.169291019439697,0.1575520932674408,0.0009990616397314103
86,7.636336579918861,0.8291829638183117,4.118994235992432,0.1692708432674408,0.0009990382894782843
87,7.275661259889603,0.8469238448888063,4.1514892578125,0.1640625,0.000999014652539208
88,7.782006949186325,0.8253174014389515,4.3355584144592285,0.140625,0.000998990728927761
89,7.702533781528473,0.8259684387594461,4.1455535888671875,0.1705729216337204,0.0009989665186576875
90,7.801746651530266,0.8260498233139515,4.207294464111328,0.1510416716337204,0.000998942021742896
91,7.685681492090225,0.8306884970515966,4.17379903793335,0.1614583432674408,0.00099891723819746
92,7.712319478392601,0.8279215656220913,4.198130130767822,0.15625,0.0009988921680356177
93,7.496215268969536,0.8333333600312471,4.1758294105529785,0.1497395932674408,0.0009988668112717721
94,7.417301639914513,0.8441976103931665,4.24911642074585,0.1536458432674408,0.0009988411679204905
95,7.198919579386711,0.8420817255973816,4.1620192527771,0.1640625,0.000998815237996505
96,7.151028871536255,0.8456624560058117,4.1779937744140625,0.15625,0.0009987890215147122
97,7.285448253154755,0.8426106963306665,4.224193572998047,0.1471354216337204,0.0009987625184901738
98,7.316713199019432,0.8328450731933117,4.216803073883057,0.1666666716337204,0.0009987357289381155
99,7.102591827511787,0.8451334815472364,4.278756618499756,0.1510416716337204,0.000998708652873928
100,8.074323013424873,0.7905680574476719,4.492867946624756,0.0950520858168602,0.0009986812903131665
101,9.284357279539108,0.6782226786017418,4.4930572509765625,0.1184895858168602,0.0009986536412715508
102,9.196388095617294,0.6872965693473816,4.350852966308594,0.1236979216337204,0.000998625705764965
103,9.018560767173767,0.7164306845515966,4.316703796386719,0.1393229216337204,0.0009985974838094586
104,8.890712559223175,0.7341308798640966,4.33294153213501,0.1354166716337204,0.0009985689754212447
105,9.036239683628082,0.7091878466308117,4.222385406494141,0.1549479216337204,0.0009985401806167013
106,8.662075608968735,0.7549642119556665,4.220790863037109,0.1588541716337204,0.0009985110994123715
107,8.483862414956093,0.7731526903808117,4.207664489746094,0.1484375,0.0009984817318249618
